zip,state_abbr,state,congressional_district,representative_name,party,bioguide_id,lookup_status,active_on,source_zip_district,source_member
80528,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80528,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80528,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80530,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80532,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80534,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80534,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80535,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80535,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80536,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80536,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80537,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80537,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80537,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80538,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80538,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80538,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80540,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80542,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80542,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80543,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80544,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80545,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80546,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80546,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80546,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80547,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80547,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80549,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80549,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80549,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80550,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
